AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
RetailExecutionAgent,13,0.7692307692307693,10,10,100,0,2.007888,-1.07123,-1.06705
RetailExecutionAgent,25,1.2,-10,10,88,12,2.010367,3.41441,3.41021
RetailExecutionAgent,22,0.5,-9,10,95,4,2.003668,6.38692,6.38329
RetailExecutionAgent,22,0.045454545454545456,1,1,100,0,2.001899,-0.63162,-0.63116
RetailExecutionAgent,32,0.0,0,0,100,0,2.006365,-2.65639,-2.65639
RetailExecutionAgent,22,0.5,9,10,95,4,2.002629,-2.00561,-2.00165
RetailExecutionAgent,20,0.05,1,1,100,0,2.00611,-2.33831,-2.33791
RetailExecutionAgent,19,0.5263157894736842,10,10,100,0,2.002406,-0.23031,-0.22566
RetailExecutionAgent,23,0.043478260869565216,1,1,100,0,2.005837,-2.09899,-2.0986
RetailExecutionAgent,18,0.6111111111111112,-11,10,88,11,2.010334,4.60971,4.6048
RetailExecutionAgent,27,0.37037037037037035,10,10,100,0,2.00237,-3.50342,-3.4996
RetailExecutionAgent,30,0.3333333333333333,10,10,100,0,2.004793,-3.16635,-3.16242
RetailExecutionAgent,18,0.5555555555555556,10,10,100,0,2.010269,0.7066,0.7105
RetailExecutionAgent,11,0.9090909090909091,10,10,100,0,2.006426,-2.80725,-2.80228
RetailExecutionAgent,26,0.11538461538461539,-1,2,96,3,2.002674,-4.66624,-4.66664
RetailExecutionAgent,15,0.6666666666666666,10,10,100,0,2.000325,-0.818,-0.81327
